the_geom,waterway_access,latitude,longitude,boat_ramp_name,asset_owner,contact_number,street,suburb,waterway_name,state,postcode,id,ramp_condition,ramp_material,has_bbq,has_fee_payable,has_kiosk,has_lighting,has_toilets,has_bins,has_pontoon_nearby,has_pontoon_ramp,number_ramp_lanes
0101000020E61000002D517FA4EBF86240354BC255287540C0,All Times,-32.9152934263897,151.778764961878,Stockton South,Newcastle City Council,02 4974 2000,Punt Road,Stockton,Hunter River,NSW,2295,22,GOOD,Concrete,false,false,false,true,false,true,true,true,2
0101000020E6100000469AA74197C962409017E9BC2DD541C0,Shallow At Times,-35.665458310904,150.299713923787,South Durras (Murramerang),Eurobodalla Shire Council,02 4429 3111,Lakeside Drive,Durras Lake,Durras Lake,NSW,2536,23,FAIR,Sand,false,false,false,false,false,false,false,false,Informal
0101000020E61000006D0FC8F839C462406A434EDDACF441C0,All Times,-35.9115254051347,150.132076636069,"Preddys Wharf, Moruya River",Eurobodalla Shire Council,02 4429 3111,South Head Drive,Moruya Heads,Moruya River,NSW,2537,24,GOOD,Concrete,false,false,false,true,true,true,true,true,2
0101000020E61000004AD63AA724CE624072631E0501AF41C0,All Times,-35.3672186277753,150.441974272648,"Kings Point (Water Ski Club), Burrill Lake",Ulladulla Water Ski Club, 0419 215 898,Kings Point Drive,Kings Point,Burrill Lake,NSW,2535,25,GOOD,Concrete,false,true,false,false,true,true,false,false,2
0101000020E61000003277285846D762404229888E9C7341C0,All Times,-34.9032152333116,150.727336958918,Greenwell Point - West Street Boat Ramp ,Shoalhaven City Council,02 4429 3111,West Street,Greenwell Point,Crookhaven River,NSW,2540,26,GOOD,Concrete,false,false,false,true,false,true,true,false,1
0101000020E6100000641849F38AE26240A3CE0CA3F00741C0,All Times,-34.062031155828,151.079461710705,Swallow Rock - Grays Point,Sutherland Shire Council,02 9710 0333,Swallow Rock Dr,Grays Point,Port Hacking,NSW,2232,27,GOOD,Concrete,true,false,false,true,true,true,true,true,2
0101000020E610000001EDB010870F6340FA4A3D70F22F40C0,Shallow At Times,-32.3745861338884,152.485237451132,Smiths Lake - Brambles Reserve Boat Ramp,Great Lakes Council,02 6591 7222,The Lakes Way,Tarbuck Bay,Smiths Lake,NSW,2428,28,GOOD,Concrete,false,false,false,false,true,false,false,false,1
0101000020E61000004D8B21EECF7D624073369739D00542C0,Shallow At Times,-36.0454170215934,147.931632104412,Tintaldra Reserve,Parks Victoria,13 1963 ,Bridge Road,Tintaldra,Murray River,VIC,3708,29,POOR,Unsealed,false,false,false,false,false,false,false,false,1
0101000020E610000087B17E88975A624064B9FEA9BB7041C0,Shallow At Times,-34.8807270520945,146.830997703026,Berembed Weir Boat Ramp,Narrandera Shire Council,02 6959 5510,Wagga Road,Galore,Murrumbidgee River,NSW,2650,30,POOR,Unsealed,false,false,false,false,false,false,false,false,1
0101000020E610000023A5769D31D3624082C019CEA29341C0,All Times,-35.1534059167616,150.59980652974,Nielson Lane Boat Ramp ,Shoalhaven City Council,02 4429 3111,Nielsen Lane,Sussex Inlet,Sussex Inlet,NSW,2540,31,GOOD,Concrete,true,false,true,true,true,true,true,false,1
0101000020E6100000B8789A7ADCF762407A1B87E1846040C0,All Times,-32.7540552053169,151.745663930609,Raymond Terrace Boat Ramp (King Park Sporting Complex),Port Stephens Council,02 49800255,Seaham Road,Raymond Terrace,Williams River,NSW,2324,32,GOOD,Concrete,false,false,true,true,true,true,false,false,3
0101000020E6100000A3BEA0E8CA6B624027FCB51D7A8B41C0,Shallow At Times,-35.089664186344,147.368519128756,Wiradjuri Reserve Boat Ramp,Wagga Wagga City Council,1300 292 442,Narrung Street,Wagga Wagga,Murrumbidgee River,NSW,2650,33,GOOD,Concrete,false,false,false,false,true,true,false,false,1
0101000020E6100000C18935EA21D662407E3D095262733EC0,All Times,-30.4507190010604,150.69163999993,Glenriddle Reserve Boat Ramp,Tamworth Regional Council,02 6767 5555,Pera Linton Road,Barraba,Split Rock Reseviour,NSW,2347,34,GOOD,Concrete,true,false,false,false,true,true,false,false,1
0101000020E6100000362108AC1C16624052C73090A00842C0,All Times,-36.067400001352,144.690999999884,5 Mile reserve (Murray Valley Regional Park) - Murray River,National Parks And Wildlife Services,1300 072 757,Perricoota Road,Moama,Murray River,NSW,2731,35,GOOD,Concrete,true,false,false,true,true,true,false,false,2
0101000020E61000003A14D61B359562406C7BD8497DFF41C0,Shallow At Times,-35.9960110003511,148.662732999919,Anglers Reach Boat Ramp,Snowy River Shire Council,02 6451 1195,Anglers Reachroad,Anglers Reach,Lake Eucumbene,NSW,2629,36,FAIR,Unsealed,false,false,true,false,true,false,false,false,1
0101000020E6100000A7D27A0AEE1A6340EC9B6E7950153FC0,All Times,-31.0832591910402,152.841557731522,"Riverside Park Boat Ramp",Kempsey Shire Council,02 6566 3200,Austral Street,Kempsey,Macleay River,NSW,2440,37,GOOD,Concrete,true,false,false,false,true,true,false,false,2
0101000020E6100000EDF5CB73838862403C3903A264C141C0,All Times,-35.5108835712185,148.266046427117, Yachting Point Boat Ramp,National Parks And Wildlife Services,1300 072 757,Snowy Mountains Highway,Kosciuszko National Park,Blowering Reservoir,NSW,2720,38,FAIR,Unsealed,true,false,false,false,true,false,false,false,1
0101000020E61000001F1BC0DCCAF26240FE4DFF4CA89140C0,Shallow At Times,-33.1379486319165,151.587263465125,Gwandalan North (Koowong Road) Boat Ramp,Wyong City Council,02 4350 5555,Koowong Road,Gwandalan,Lake Macquarie,NSW,2259,39,FAIR,Concrete,true,false,false,false,true,true,true,false,1
0101000020E6100000F8526D8B42CC62402932075370C741C0,Shallow At Times,-35.5581153664719,150.383123124622,Kioloa Beach,Shoalhaven City Council,02 4429 3111,Kioloa,Kioloa,Tasman Sea,NSW,2539,40,FAIR,Concrete,false,false,false,true,true,true,false,false,2
0101000020E6100000A664BF0308EA624072958F4802BB40C0,All Times,-33.4610071850865,151.313478349509,Koolewong North Boat Ramp ,Gosford City Council,02 4325 8222,Brisbane Water Drive,Koolewong,Brisbane Water,NSW,2256,41,GOOD,Concrete,false,false,false,true,false,false,true,false,1
0101000020E6100000954145C66AD762405A2505C4247541C0,All Times,-34.9151845002295,150.731783995882,Greenwell Point - Bowling Club Boat Ramp,Shoalhaven City Council,02 4429 3111,Haiser Road,Greenwell Point,Crookhaven River,NSW,2540,42,GOOD,Concrete,false,false,false,true,true,true,true,false,1
0101000020E6100000B2B2DC0C88106340115401866D1B40C0,All Times,-32.214279890679,152.516607695628,Elizabeth Parade Boat Ramp,Great Lakes Council,02 6591 7222,Elizabeth Parade,Forster,Pipers Creek / Wallis Lake,NSW,2428,43,GOOD,Concrete,true,false,false,false,true,true,false,false,2
0101000020E610000083C6BB1352156340357228CD12E23FC0,All Times,-31.8830993865724,152.66626917529,Harrington,Greater Taree City Council,02 6592 5399,Beach Street,Harrington,Manning River,NSW,2427,44,FAIR,Concrete,false,false,false,false,true,true,true,true,3
0101000020E6100000E319F335458362402EF37396378941C0,All Times,-35.0720089021837,148.102198576743,Gundagai,Gundagai Shire Council,02 6944 0200,Junee Road,Gundagai,Murrumbidgee River,NSW,2722,45,GOOD,Concrete,false,false,false,false,false,false,false,false,1
0101000020E610000043C2BDF1DF1D624006A4A5BA77C141C0,Shallow At Times,-35.5114663418572,144.933586950896,Sloane Street,Deniliquin Council,02 6993 1003,Sloane Street,Deniliquin,Edward River,NSW,2710,46,GOOD,Concrete,false,false,false,false,false,false,false,false,1
